,office,1_x,1_y,1_angle,2_x,2_y,2_angle,3_x,3_y,3_angle,4_x,4_y,4_angle,5_x,5_y,5_angle,size_x,size_y,aircon,ventilation,exhaust,countTimeMean_onlyFloating
0_0,scan1,1.46,2.816,90.0,2.91,2.816,90.0,4.36,2.816,90.0,3.79,0.984,270.0,5.24,0.984,270.0,5.8,3.8,0,0,off,1757.936666666667
0_164_aout,scan1,1.46,2.816,90.0,2.91,2.816,90.0,4.36,2.816,90.0,3.79,0.984,270.0,5.24,0.984,270.0,5.8,3.8,0,164,a,1869.638333333333
0_164_bout,scan1,1.46,2.816,90.0,2.91,2.816,90.0,4.36,2.816,90.0,3.79,0.984,270.0,5.24,0.984,270.0,5.8,3.8,0,164,b,1362.842
0_246_aout,scan1,1.46,2.816,90.0,2.91,2.816,90.0,4.36,2.816,90.0,3.79,0.984,270.0,5.24,0.984,270.0,5.8,3.8,0,246,a,1542.9566666666665
0_246_bout,scan1,1.46,2.816,90.0,2.91,2.816,90.0,4.36,2.816,90.0,3.79,0.984,270.0,5.24,0.984,270.0,5.8,3.8,0,246,b,1825.899
0_82_aout,scan1,1.46,2.816,90.0,2.91,2.816,90.0,4.36,2.816,90.0,3.79,0.984,270.0,5.24,0.984,270.0,5.8,3.8,0,82,a,1967.0143333333333
0_82_bout,scan1,1.46,2.816,90.0,2.91,2.816,90.0,4.36,2.816,90.0,3.79,0.984,270.0,5.24,0.984,270.0,5.8,3.8,0,82,b,1744.6209999999999
360_0,scan1,1.46,2.816,90.0,2.91,2.816,90.0,4.36,2.816,90.0,3.79,0.984,270.0,5.24,0.984,270.0,5.8,3.8,360,0,off,1650.899
360_164_aout,scan1,1.46,2.816,90.0,2.91,2.816,90.0,4.36,2.816,90.0,3.79,0.984,270.0,5.24,0.984,270.0,5.8,3.8,360,164,a,1652.4576666666667
360_164_bout,scan1,1.46,2.816,90.0,2.91,2.816,90.0,4.36,2.816,90.0,3.79,0.984,270.0,5.24,0.984,270.0,5.8,3.8,360,164,b,1659.4336666666666
360_246_aout,scan1,1.46,2.816,90.0,2.91,2.816,90.0,4.36,2.816,90.0,3.79,0.984,270.0,5.24,0.984,270.0,5.8,3.8,360,246,a,1854.1673333333333
360_246_bout,scan1,1.46,2.816,90.0,2.91,2.816,90.0,4.36,2.816,90.0,3.79,0.984,270.0,5.24,0.984,270.0,5.8,3.8,360,246,b,1379.586
360_82_aout,scan1,1.46,2.816,90.0,2.91,2.816,90.0,4.36,2.816,90.0,3.79,0.984,270.0,5.24,0.984,270.0,5.8,3.8,360,82,a,1261.606
360_82_bout,scan1,1.46,2.816,90.0,2.91,2.816,90.0,4.36,2.816,90.0,3.79,0.984,270.0,5.24,0.984,270.0,5.8,3.8,360,82,b,1695.7283333333332
660_0,scan1,1.46,2.816,90.0,2.91,2.816,90.0,4.36,2.816,90.0,3.79,0.984,270.0,5.24,0.984,270.0,5.8,3.8,660,0,off,1892.099333333333
660_164_aout,scan1,1.46,2.816,90.0,2.91,2.816,90.0,4.36,2.816,90.0,3.79,0.984,270.0,5.24,0.984,270.0,5.8,3.8,660,164,a,1560.6419999999998
660_164_bout,scan1,1.46,2.816,90.0,2.91,2.816,90.0,4.36,2.816,90.0,3.79,0.984,270.0,5.24,0.984,270.0,5.8,3.8,660,164,b,1971.4239999999998
660_246_aout,scan1,1.46,2.816,90.0,2.91,2.816,90.0,4.36,2.816,90.0,3.79,0.984,270.0,5.24,0.984,270.0,5.8,3.8,660,246,a,1861.6476666666665
660_246_bout,scan1,1.46,2.816,90.0,2.91,2.816,90.0,4.36,2.816,90.0,3.79,0.984,270.0,5.24,0.984,270.0,5.8,3.8,660,246,b,2054.7223333333336
660_82_aout,scan1,1.46,2.816,90.0,2.91,2.816,90.0,4.36,2.816,90.0,3.79,0.984,270.0,5.24,0.984,270.0,5.8,3.8,660,82,a,1616.7616666666668
660_82_bout,scan1,1.46,2.816,90.0,2.91,2.816,90.0,4.36,2.816,90.0,3.79,0.984,270.0,5.24,0.984,270.0,5.8,3.8,660,82,b,1761.2333333333331
960_0,scan1,1.46,2.816,90.0,2.91,2.816,90.0,4.36,2.816,90.0,3.79,0.984,270.0,5.24,0.984,270.0,5.8,3.8,960,0,off,2053.3853333333336
960_164_aout,scan1,1.46,2.816,90.0,2.91,2.816,90.0,4.36,2.816,90.0,3.79,0.984,270.0,5.24,0.984,270.0,5.8,3.8,960,164,a,2244.8223333333335
960_164_bout,scan1,1.46,2.816,90.0,2.91,2.816,90.0,4.36,2.816,90.0,3.79,0.984,270.0,5.24,0.984,270.0,5.8,3.8,960,164,b,1852.0199999999998
960_246_aout,scan1,1.46,2.816,90.0,2.91,2.816,90.0,4.36,2.816,90.0,3.79,0.984,270.0,5.24,0.984,270.0,5.8,3.8,960,246,a,1825.473333333333
960_246_bout,scan1,1.46,2.816,90.0,2.91,2.816,90.0,4.36,2.816,90.0,3.79,0.984,270.0,5.24,0.984,270.0,5.8,3.8,960,246,b,1924.8973333333336
960_82_aout,scan1,1.46,2.816,90.0,2.91,2.816,90.0,4.36,2.816,90.0,3.79,0.984,270.0,5.24,0.984,270.0,5.8,3.8,960,82,a,1738.1786666666667
960_82_bout,scan1,1.46,2.816,90.0,2.91,2.816,90.0,4.36,2.816,90.0,3.79,0.984,270.0,5.24,0.984,270.0,5.8,3.8,960,82,b,2063.4129999999996
